danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,added_at,name
0.643,0.732,5,-6.762,0,0.0294,0.00681,4.57e-05,0.0606,0.181,102.979,5jJnlACnwFvyqNXmUZu8Nd,224272,4,2018-03-10T00:45:45Z,False Alarm
0.602,0.614,11,-6.058,0,0.0633,0.626,0.021,0.0738,0.333,137.992,0IG0bhR18uNnfSa6nS0r0h,226063,4,2018-03-10T03:17:03Z,Islands
0.785,0.494,11,-13.089,0,0.48,0.803,0.667,0.083,0.442,79.741,0hMmbwx2alQYdwPHK5Xmv7,199103,4,2018-03-10T03:19:37Z,Yuika
0.601,0.499,6,-11.131,1,0.0343,0.815,0.712,0.109,0.531,96.981,3uSwz1gv799BQhkqgIgfSz,242860,4,2018-03-10T03:19:50Z,Begin (feat. Wales)
0.464,0.347,7,-8.847,0,0.048,0.241,0.0614,0.0977,0.556,150.028,5eICircAQT9O0gIlTzxf58,193985,4,2018-03-10T03:21:02Z,Nothing New
0.702,0.403,3,-13.428,1,0.0338,0.676,0.273,0.0836,0.0716,101.018,1OFMSWMwEiy5LJJCzzWknT,222813,4,2018-03-10T03:22:27Z,Lost in Space
0.631,0.548,8,-8.672,0,0.0236,0.399,0.000568,0.0742,0.685,100.006,5akrX5iB8SBZOcxtFnFNEG,129580,4,2018-03-10T03:23:22Z,Takes Some Time
0.673,0.551,0,-7.575,1,0.0288,0.0133,0.000367,0.0747,0.429,88.039,41nkPKWbunYtRKRdyvhxbr,194499,4,2018-03-10T03:23:45Z,Lie
0.399,0.307,9,-11.475,0,0.0498,0.907,2.5e-05,0.0767,0.0747,139.965,1kEniCSxneYJUWdKhzKF1Y,215264,4,2018-03-10T03:26:05Z,The Ending
0.666,0.456,3,-8.888,0,0.0733,0.333,0,0.197,0.25,124.803,6iZURTXhhsRg6zGUajb9Zy,218939,4,2018-03-10T03:26:21Z,Square One
0.661,0.589,5,-11.217,1,0.0368,0.637,0.863,0.111,0.603,129.987,498PZGXoeApGrJ32NmeGbG,273533,4,2018-03-10T03:28:38Z,Chateau
0.526,0.412,9,-9.722,1,0.0449,0.146,0,0.105,0.265,165.87,3m9eTtBtU0xxJndQRz9MOr,189578,4,2018-03-10T03:28:55Z,Out of Focus
0.708,0.713,11,-5.39,1,0.0657,0.0555,0.00389,0.32,0.264,101.999,3omHpz9fmngYFdHDRLGeRZ,222353,4,2018-03-11T02:46:04Z,In My Head
0.685,0.508,0,-6.4,1,0.0987,0.193,0,0.139,0.315,99.063,5sIx4BlfYGuZeSLF40N9GH,217287,4,2018-03-17T02:53:11Z,Remind Me to Forget
0.666,0.677,2,-5.743,1,0.0326,0.214,0,0.0979,0.178,100.014,1OilOIju6R9ia8vilNjChh,178242,4,2018-03-17T02:57:31Z,Beautiful
0.693,0.43,5,-10.528,1,0.0667,0.553,0.0417,0.349,0.219,99.967,20kaRiS9S7a13DLGkdWJf0,193136,4,2018-04-05T06:23:27Z,Hostage - Hounded Remix
0.509,0.518,2,-10.208,1,0.0304,0.0853,5.84e-05,0.338,0.248,81.042,61Jk4NuavJPhDBvVZes5iB,213560,4,2018-04-05T06:23:35Z,"Right Here, Right Now"
0.374,0.758,9,-4.212,1,0.0434,0.00276,0.000655,0.104,0.126,89.993,3o5OyQ2tghLhOFjemvEloF,225347,4,2018-04-05T06:23:43Z,Home
0.878,0.613,2,-3.873,1,0.13,0.126,0,0.194,0.753,104.986,2jRfRIvnZj4J6mxGnpVmdQ,185526,4,2018-04-05T06:23:59Z,Close to You (feat. Jasmine Sokko)
0.552,0.842,0,-5.815,1,0.0542,0.0551,0.271,0.105,0.242,139.914,5ZBemWNJFt6Ne1ay2vjVJD,343714,4,2018-04-05T06:24:16Z,Moonlight
0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,21RzyxY3EFaxVy6K4RqaU9,163216,4,2018-04-05T06:25:09Z,Body
0.494,0.882,2,-4.63,1,0.041,0.00493,0,0.128,0.292,128.008,5OSJZlfxZwR5jreQSy6r2O,213480,4,2018-04-05T06:28:16Z,Easy - Radio Edit
0.443,0.726,7,-3.745,1,0.167,0.416,0,0.369,0.37,119.824,2ULg8Cw0Ckn5JDGUkCNXko,220000,4,2018-04-05T06:28:37Z,Hung Up
0.65,0.631,0,-6.103,1,0.0515,0.0469,0.00223,0.151,0.755,161.066,0M8ZoYAmViPTp0dX0J9E52,219587,4,2018-04-05T06:34:19Z,Dead
0.527,0.819,9,-5.371,1,0.034,0.0329,0.0576,0.0799,0.117,126.019,4xRxj8myDxZb85dMeCQGWV,211429,4,2018-04-05T06:36:48Z,Find a Way (feat. Rudy)
0.747,0.844,5,-4.91,0,0.0822,0.0762,6.27e-06,0.115,0.671,103.926,45TAoyg9s00SSI5qtpmMWi,169219,4,2018-04-05T06:39:18Z,Anyway
0.74,0.533,7,-10.294,1,0.0824,0.138,4.99e-05,0.127,0.313,92.005,45iMwUi9OBJlEIsTJ4AStR,192293,4,2018-04-05T06:39:44Z,Not A Love Song
0.735,0.483,8,-8.746,1,0.0351,0.272,1.82e-05,0.134,0.411,112.96,21co5zlBpH31QEEphGb0Rb,187965,4,2018-04-05T06:40:37Z,Body - Late Nite Version
0.448,0.725,9,-5.259,0,0.0454,0.0316,1.25e-06,0.426,0.231,151.962,5Kr01FtRG1qf7nHJJoGAX9,359500,4,2018-04-05T06:40:59Z,Hold feat. Daniela Andrade - Original Mix
0.727,0.831,9,-4.745,1,0.077,0.129,0,0.154,0.692,112.002,0c0l69JCctCQVdVi6IeZtH,195000,4,2018-04-05T06:41:33Z,Out My Mind
0.631,0.807,11,-2.126,0,0.0348,0.00491,0,0.178,0.539,120.021,308zpyApA49qlNuzayCeYr,217000,4,2018-04-09T20:14:02Z,All My Life
0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,0ct6r3EGTcMLPtrXHDvVjc,176658,4,2018-04-23T17:21:32Z,The Nights
0.68,0.541,2,-5.909,1,0.032,0.341,1.02e-06,0.23,0.447,97.005,1NldMriIXmMdChqZtHCGbW,220433,4,2018-04-24T22:36:38Z,Dive With Me
0.572,0.689,6,-3.971,0,0.0824,0.0688,8.64e-05,0.0718,0.399,131.799,2RZvxgQsFR1mUcwFZpsav9,205787,4,2018-04-24T22:36:42Z,Collide
0.754,0.697,10,-4.387,0,0.0313,0.0759,0.0551,0.0955,0.753,123.997,3iijdsL2HIvzWKKnf1QSee,232258,4,2018-04-27T21:31:10Z,Kuaga (Lost Time) - Matthew Heyer Remix
0.625,0.592,8,-6.988,1,0.253,0.653,0.92,0.125,0.201,151.0,2Vp0OFLQDTplYEt4UtwC3e,216159,4,2018-05-20T00:23:58Z,Attached
0.845,0.596,4,-4.932,0,0.0438,0.645,0.00492,0.115,0.387,95.011,0xEHjdXNzYtLyO5VnZw77b,237901,4,2018-05-28T01:30:49Z,Go To Sleep
0.726,0.576,4,-3.184,0,0.355,0.287,0.000266,0.255,0.72,76.044,20R2rF8szcx4VNA6FDRKwo,243191,4,2018-06-15T21:57:41Z,Butterscotch
0.844,0.262,0,-14.08,1,0.0899,0.68,0,0.111,0.274,104.945,4PKZmIXiIt54OQo1E51aTd,151110,4,2018-06-25T21:11:44Z,rumours (feat. mark johns)
0.49,0.864,10,-4.165,1,0.0308,0.00209,0.0269,0.169,0.0579,128.047,735kliQyYeVVXZqzUIxpfx,202518,4,2018-06-25T21:11:53Z,Rain
0.866,0.679,6,-6.74,0,0.388,0.214,4.8e-06,0.101,0.272,115.015,7xAE36UUNgyDJDIM4yiucY,268087,4,2018-06-25T21:12:21Z,Be Your Girl (Kaytranada Edition)
0.576,0.85,8,-3.653,0,0.117,0.309,0,0.341,0.18,142.012,4OCvd4ila7Zp0tEsFWs2hP,226613,4,2018-06-25T21:12:25Z,Don't Leave - Ekali Remix
0.705,0.729,8,-3.925,1,0.0451,0.427,8.6e-06,0.15,0.586,126.047,3R7Y4q7kECcZkT5LCn8QP5,218095,4,2018-06-25T21:12:31Z,I Still See Your Face
0.724,0.418,2,-8.057,1,0.0808,0.0786,0,0.129,0.488,131.924,3X475vZzGmHrctAJ5Fesvs,237273,4,2018-06-25T21:12:48Z,Goosebumps
0.777,0.533,8,-8.449,1,0.19,0.321,3.99e-05,0.091,0.445,94.027,6KqJe8tNKU6HAdFkyY2PE6,178085,4,2018-06-26T20:32:30Z,With You - Hazey Eyes Remix
0.417,0.28,9,-13.111,0,0.187,0.667,3.8e-05,0.452,0.241,164.945,7qMaDc8nDdHW15ktCyx8qu,220920,5,2018-07-03T21:46:42Z,Burn
0.594,0.703,3,-5.305,1,0.0671,0.191,1.14e-06,0.129,0.338,123.939,6XLUlVeCNo4T7Gvkmy6NmC,278226,4,2018-07-03T23:15:57Z,Plans (feat. Brandyn Burnette)
0.454,0.66,0,-4.357,1,0.168,0.0364,0,0.181,0.568,184.353,2HaYSyjZmqhFVviYOakAth,212374,4,2018-07-03T23:17:10Z,Burn the House Down
0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03,7nZ9CzhiFRPhOQCn7eDSnn,238183,4,2018-07-03T23:49:53Z,Vanille fraise
0.631,0.756,0,-4.428,0,0.0328,0.122,0.816,0.0626,0.296,120.021,5G9AFl0ibJsTbGm8h3N6jw,166506,4,2018-07-03T23:50:19Z,Sometime (feat. Brasstracks)
